group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,tone_step,path,code
p_group,test,BP_test,IHB_IHP_5_30,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,30,NA,audio/syllables_BP/IHB_IHP_5_30.wav,133
p_group,test,BP_test,UHB_UHP_5_0,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,0,NA,audio/syllables_BP/UHB_UHP_5_0.wav,134
p_group,test,BP_test,UHB_UHP_5_2,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,2,NA,audio/syllables_BP/UHB_UHP_5_2.wav,135
p_group,test,BP_test,UHB_UHP_5_4,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,4,NA,audio/syllables_BP/UHB_UHP_5_4.wav,136
p_group,test,BP_test,UHB_UHP_5_5,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,5,NA,audio/syllables_BP/UHB_UHP_5_5.wav,137
p_group,test,BP_test,UHB_UHP_5_6,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,6,NA,audio/syllables_BP/UHB_UHP_5_6.wav,138
p_group,test,BP_test,UHB_UHP_5_7,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,7,NA,audio/syllables_BP/UHB_UHP_5_7.wav,139
p_group,test,BP_test,UHB_UHP_5_9,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,9,NA,audio/syllables_BP/UHB_UHP_5_9.wav,140
p_group,test,BP_test,UHB_UHP_5_11,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,11,NA,audio/syllables_BP/UHB_UHP_5_11.wav,141
p_group,test,BP_test,UHB_UHP_5_15,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,15,NA,audio/syllables_BP/UHB_UHP_5_15.wav,142
p_group,test,BP_test,UHB_UHP_5_21,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,21,NA,audio/syllables_BP/UHB_UHP_5_21.wav,143
p_group,test,BP_test,UHB_UHP_5_30,UH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,30,NA,audio/syllables_BP/UHB_UHP_5_30.wav,144
p_group,test,BP_test,AAB_AAP_1_0,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,0,NA,audio/syllables_BP/AAB_AAP_1_0.wav,145
p_group,test,BP_test,AAB_AAP_1_3,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,3,NA,audio/syllables_BP/AAB_AAP_1_3.wav,146
p_group,test,BP_test,AAB_AAP_1_5,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,5,NA,audio/syllables_BP/AAB_AAP_1_5.wav,147
p_group,test,BP_test,AAB_AAP_1_7,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,7,NA,audio/syllables_BP/AAB_AAP_1_7.wav,148
p_group,test,BP_test,AAB_AAP_1_9,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,9,NA,audio/syllables_BP/AAB_AAP_1_9.wav,149
p_group,test,BP_test,AAB_AAP_1_10,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,10,NA,audio/syllables_BP/AAB_AAP_1_10.wav,150
p_group,test,BP_test,AAB_AAP_1_11,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,11,NA,audio/syllables_BP/AAB_AAP_1_11.wav,151
p_group,test,BP_test,AAB_AAP_1_13,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,13,NA,audio/syllables_BP/AAB_AAP_1_13.wav,152
p_group,test,BP_test,AAB_AAP_1_17,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,17,NA,audio/syllables_BP/AAB_AAP_1_17.wav,153
p_group,test,BP_test,AAB_AAP_1_23,AA,NA,NA,NA,NA,NA,2,10,B,P,NA,NA,23,NA,audio/syllables_BP/AAB_AAP_1_23.wav,154
